# Source of truth for which script a glyph belongs to.
# script: simplified  = has a distinct traditional counterpart (国 <- 國)
#         traditional = has a distinct simplified counterpart  (國 -> 国)
# Anything absent from this file is `both` — unchanged between the scripts (人, 大, 一),
# which is the majority of the dictionary.
#
# counterpart is informational: the opposite-script form(s) Unihan records.
# Generated by scripts/build-script-classification.mjs — do not hand-edit; add an
# OVERRIDE there instead so a regeneration keeps the decision.
glyph	codepoint	script	counterpart	override
攒	U+6512	simplified	攢	
敌	U+654C	simplified	敵	
敛	U+655B	simplified	斂	
数	U+6570	simplified	數	
斋	U+658B	simplified	齋	
斓	U+6593	simplified	斕	
斗	U+6597	simplified	鬥	
斩	U+65A9	simplified	斬	
断	U+65AD	simplified	斷	
旋	U+65CB	simplified	鏇	
无	U+65E0	simplified	無	
旧	U+65E7	simplified	舊	
时	U+65F6	simplified	時	
旷	U+65F7	simplified	曠	
昙	U+6619	simplified	曇	
昼	U+663C	simplified	晝	
显	U+663E	simplified	顯	
晋	U+664B	simplified	晉	
晒	U+6652	simplified	曬	
晓	U+6653	simplified	曉	
晔	U+6654	simplified	曄	
晕	U+6655	simplified	暈	
晖	U+6656	simplified	暉	
暂	U+6682	simplified	暫	
暧	U+66A7	simplified	曖	
曲	U+66F2	simplified	麯	
术	U+672F	simplified	術	
朱	U+6731	simplified	硃	
朴	U+6734	simplified	樸	
机	U+673A	simplified	機	
杀	U+6740	simplified	殺	
杂	U+6742	simplified	雜	
权	U+6743	simplified	權	
杆	U+6746	simplified	桿	
条	U+6761	simplified	條	
来	U+6765	simplified	來	
杨	U+6768	simplified	楊	
杩	U+6769	simplified	榪	
杰	U+6770	simplified	傑	
松	U+677E	simplified	鬆	
板	U+677F	simplified	闆	
极	U+6781	simplified	極	
构	U+6784	simplified	構	
枞	U+679E	simplified	樅	
枢	U+67A2	simplified	樞	
枣	U+67A3	simplified	棗	
枥	U+67A5	simplified	櫪	
枧	U+67A7	simplified	梘	
枨	U+67A8	simplified	棖	
枪	U+67AA	simplified	槍	
枫	U+67AB	simplified	楓	
枭	U+67AD	simplified	梟	
柜	U+67DC	simplified	櫃	
柠	U+67E0	simplified	檸	
柽	U+67FD	simplified	檉	
栀	U+6800	simplified	梔	
栅	U+6805	simplified	柵	
标	U+6807	simplified	標	
栈	U+6808	simplified	棧	
栉	U+6809	simplified	櫛	
栊	U+680A	simplified	櫳	
栋	U+680B	simplified	棟	
栌	U+680C	simplified	櫨	
栎	U+680E	simplified	櫟	
栏	U+680F	simplified	欄	
树	U+6811	simplified	樹	
栖	U+6816	simplified	棲	
栗	U+6817	simplified	慄	
样	U+6837	simplified	樣	
栾	U+683E	simplified	欒	
桠	U+6860	simplified	椏	
桡	U+6861	simplified	橈	
桢	U+6862	simplified	楨	
档	U+6863	simplified	檔	
桤	U+6864	simplified	榿	
桥	U+6865	simplified	橋	
桦	U+6866	simplified	樺	
桧	U+6867	simplified	檜	
桨	U+6868	simplified	槳	
桩	U+6869	simplified	樁	
梦	U+68A6	simplified	夢	
梼	U+68BC	simplified	檮	
梾	U+68BE	simplified	棶	
梿	U+68BF	simplified	槤	
检	U+68C0	simplified	檢	
棂	U+68C2	simplified	欞	
椁	U+6901	simplified	槨	
椟	U+691F	simplified	櫝	
椠	U+6920	simplified	槧	
椤	U+6924	simplified	欏	
椭	U+692D	simplified	橢	
楼	U+697C	simplified	樓	
榄	U+6984	simplified	欖	
榅	U+6985	simplified	榲	
榇	U+6987	simplified	櫬	
榈	U+6988	simplified	櫚	
榉	U+6989	simplified	櫸	
槛	U+69DB	simplified	檻	
槟	U+69DF	simplified	檳	
槠	U+69E0	simplified	櫧	
横	U+6A2A	simplified	橫	
樯	U+6A2F	simplified	檣	
樱	U+6A31	simplified	櫻	
橥	U+6A65	simplified	櫫	
橱	U+6A71	simplified	櫥	
橹	U+6A79	simplified	櫓	
橼	U+6A7C	simplified	櫞	
檩	U+6AA9	simplified	檁	
欢	U+6B22	simplified	歡	
欤	U+6B24	simplified	歟	
欧	U+6B27	simplified	歐	
歼	U+6B7C	simplified	殲	
殁	U+6B81	simplified	歿	
殇	U+6B87	simplified	殤	
残	U+6B8B	simplified	殘	
殒	U+6B92	simplified	殞	
殓	U+6B93	simplified	殮	
殚	U+6B9A	simplified	殫	
殡	U+6BA1	simplified	殯	
殴	U+6BB4	simplified	毆	
毁	U+6BC1	simplified	毀	
毂	U+6BC2	simplified	轂	
毕	U+6BD5	simplified	畢	
毙	U+6BD9	simplified	斃	
毡	U+6BE1	simplified	氈	
毵	U+6BF5	simplified	毿	
氇	U+6C07	simplified	氌	
气	U+6C14	simplified	氣	
氢	U+6C22	simplified	氫	
氩	U+6C29	simplified	氬	
氲	U+6C32	simplified	氳	
汇	U+6C47	simplified	匯彙	
汉	U+6C49	simplified	漢	
汤	U+6C64	simplified	湯	
汹	U+6C79	simplified	洶	
沈	U+6C88	simplified	瀋	
沟	U+6C9F	simplified	溝	
没	U+6CA1	simplified	沒	
沣	U+6CA3	simplified	灃	
沤	U+6CA4	simplified	漚	
沥	U+6CA5	simplified	瀝	
沦	U+6CA6	simplified	淪	
沧	U+6CA7	simplified	滄	
沩	U+6CA9	simplified	溈潙	
沪	U+6CAA	simplified	滬	
泞	U+6CDE	simplified	濘	
注	U+6CE8	simplified	註	
泪	U+6CEA	simplified	淚	
泶	U+6CF6	simplified	澩	
泷	U+6CF7	simplified	瀧	
泸	U+6CF8	simplified	瀘	
泺	U+6CFA	simplified	濼	
泻	U+6CFB	simplified	瀉	
泼	U+6CFC	simplified	潑	
泽	U+6CFD	simplified	澤	
泾	U+6CFE	simplified	涇	
洁	U+6D01	simplified	潔	
洒	U+6D12	simplified	灑	
洼	U+6D3C	simplified	窪	
浃	U+6D43	simplified	浹	
浅	U+6D45	simplified	淺	
浆	U+6D46	simplified	漿	
浇	U+6D47	simplified	澆	
浈	U+6D48	simplified	湞	
浉	U+6D49	simplified	溮	
浊	U+6D4A	simplified	濁	
测	U+6D4B	simplified	測	
浍	U+6D4D	simplified	澮	
济	U+6D4E	simplified	濟	
浏	U+6D4F	simplified	瀏	
浐	U+6D50	simplified	滻	
浑	U+6D51	simplified	渾	
浒	U+6D52	simplified	滸	
浓	U+6D53	simplified	濃	
浔	U+6D54	simplified	潯	
涂	U+6D82	simplified	塗	
涛	U+6D9B	simplified	濤	
涝	U+6D9D	simplified	澇	
涞	U+6D9E	simplified	淶	
涟	U+6D9F	simplified	漣	
涠	U+6DA0	simplified	潿	
涡	U+6DA1	simplified	渦	
涣	U+6DA3	simplified	渙	
涤	U+6DA4	simplified	滌	
润	U+6DA6	simplified	潤	
涧	U+6DA7	simplified	澗	
涨	U+6DA8	simplified	漲	
涩	U+6DA9	simplified	澀	
淀	U+6DC0	simplified	澱	
渊	U+6E0A	simplified	淵	
渌	U+6E0C	simplified	淥	
渍	U+6E0D	simplified	漬	
渎	U+6E0E	simplified	瀆	
渐	U+6E10	simplified	漸	
渑	U+6E11	simplified	澠	
渔	U+6E14	simplified	漁	
渖	U+6E16	simplified	瀋	
渗	U+6E17	simplified	滲	
温	U+6E29	simplified	溫	
湾	U+6E7E	simplified	灣	
湿	U+6E7F	simplified	濕	
